date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2018-04-01,"Individual Differences in Correspondence Bias: Measurement, Consequences, and Correction of Biased Interpersonal Attributions",10.1287/mnsc.2016.2668,"[{'author_name': 'Irene Scopelliti', 'author_slug': 'irene-scopelliti-kZ11Ya', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Hyounae Min', 'author_slug': 'hyounae-min-M2aOJd', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Erin McCormick', 'author_slug': 'erin-mccormick-gX86Je', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Carey K. Morewedge', 'author_slug': 'carey-k-morewedge-EWlYDG', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,64,2018,Institute for Operations Research and the Management Sciences (INFORMS),4,1879-1910,"Across consequential attributions of attitudes, ability, emotions, and morality, people make correspondent inferences. People infer stable personality characteristics from others' behavior, even when that behavior is caused by situational factors. We examined the structure of correspondent inferences and report the development and validation of an instrument measuring individual differences in this correspondence bias (a Neglect of External Demands scale, or ""NED""). The NED is internally consistent and distinct from scales and measures of intelligence, cognitive ability, cognitive reflection, general decision making ability, preference for control, and attributional style. Individual differences in correspondence bias predict blaming people for harmful accidents, believing coerced confessions, correcting for job and task difficulty when making performance evaluations and incentive-compatible personnel selections, and separating market and fund performance when making incentive-compatible investments. Fortunately, the tendency to commit correspondence bias can be reduced. Making situational information easier to process debiases those most prone to correspondence bias."
2022-11-16,A cognitive modeling approach to learning and using reference biases in language,10.3389/frai.2022.933504,"[{'author_name': 'Abigail Toth', 'author_slug': 'abigail-toth-pnVD5z', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Petra Hendriks', 'author_slug': 'petra-hendriks-NlX3lP', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Niels Taatgen', 'author_slug': 'niels-taatgen-n6nvKk', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Jacolien van Rij', 'author_slug': 'jacolien-van-rij-dvj1b1', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Artificial Intelligence,Front. Artif. Intell.,5,2022,Frontiers Media SA,,,"During real-time language processing, people rely on linguistic and non-linguistic biases to anticipate upcoming linguistic input. One of these linguistic biases is known as the implicit causality bias, wherein language users anticipate that certain entities will be rementioned in the discourse based on the entity's particular role in an expressed causal event. For example, when language users encounter a sentence like “Elizabeth congratulated Tina…” during real-time language processing, they seemingly anticipate that the discourse will continue about Tina, the object referent, rather than Elizabeth, the subject referent. However, it is often unclear how these reference biases are acquired and how exactly they get used during real-time language processing. In order to investigate these questions, we developed a reference learning model within the PRIMs cognitive architecture that simulated the process of predicting upcoming discourse referents and their linguistic forms. Crucially, across the linguistic input the model was presented with, there were asymmetries with respect to how the discourse continued. By utilizing the learning mechanisms of the PRIMs architecture, the model was able to optimize its predictions, ultimately leading to biased model behavior. More specifically, following subject-biased implicit causality verbs the model was more likely to predict that the discourse would continue about the subject referent, whereas following object-biased implicit causality verbs the model was more likely to predict that the discourse would continue about the object referent. In a similar fashion, the model was more likely to predict that subject referent continuations would be in the form of a pronoun, whereas object referent continuations would be in the form of a proper name. These learned biases were also shown to generalize to novel contexts in which either the verb or the subject and object referents were new. The results of the present study demonstrate that seemingly complex linguistic behavior can be explained by cognitively plausible domain-general learning mechanisms. This study has implications for psycholinguistic accounts of predictive language processing and language learning, as well as for theories of implicit causality and reference processing."
2022-02-02,Thematic grouping for messages in major events,10.12821/ijispm040403,"[{'author_name': 'Wallace A. Pinheiro', 'author_slug': 'wallace-a-pinheiro-DmPa8Y', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Ricardo J. Fernandes', 'author_slug': 'ricardo-j-fernandes-G302V1', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",International Journal of Information Systems and Project Management,IJISPM,4,2022,University of Minho,4,51-65,"The process of information evaluation may compete with the decision making process by requiring the limited cognitive resources. In the case of Major Events, such as the Football World Cup or the Olympic Games, the thematic grouping of every information may be overwhelming. The theme switching caused by information associated with a different thematic group may be modelled as an interruption in multitasking set-ups. Thus, automating the thematic grouping of information may facilitate the decision making process by reducing the theme switching for a decision maker when he reads a set of messages. In this paper were used clustering techniques with multi-criteria to group the messages in themes. These criteria were implemented as configurable operators. To achieve a better comprehension of those parameters, we introduced the concepts of Thematic Strength (TS) and Thematic Density (TD). The evaluation of the strategy was made over a set of operational messages available in the Pacificador system during the 2014 FIFA World Cup."
2020-01-01,Expertise and Discretionary Bonus Decisions,10.1287/mnsc.2018.3172,"[{'author_name': 'Margaret A. Abernethy', 'author_slug': 'margaret-a-abernethy-NlLgDz', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Chung-Yu Hung', 'author_slug': 'chung-yu-hung-vxOEwN', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Laurence van Lent', 'author_slug': 'laurence-van-lent-ejNZdz', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,66,2020,Institute for Operations Research and the Management Sciences (INFORMS),1,415-432,"We examine the association between managers' expertise and their discretionary bonus decisions in a hospital setting. We hypothesize that high-expertise managers make decisions that encourage cooperation among their subordinates. However, low-expertise managers cannot do so because their lower levels of knowledge, experience, and domain expertise prevent them from having sufficient personal influence to persuade other professionals to cooperate. We find that high-expertise managers make two types of bonus decisions: (1) keep a smaller share of the bonus pool than what they are entitled to retain and (2) allocate the remainder to subordinates more evenly after adjusting for the underlying heterogeneity in their productivity. We also find evidence that high-expertise managers whose bonus decisions reflect their support for cooperation have higher department performance than all other managers."
2015-11-01,Aging and Financial Decision Making,10.1287/mnsc.2014.2010,"[{'author_name': 'Keith Jacks Gamble', 'author_slug': 'keith-jacks-gamble-38bX0J', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Patricia A. Boyle', 'author_slug': 'patricia-a-boyle-ApReE', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Lei Yu', 'author_slug': 'lei-yu-zRklbb', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'David A. Bennett', 'author_slug': 'david-a-bennett-wmkd6M', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,61,2015,Institute for Operations Research and the Management Sciences (INFORMS),11,2603-2610,"This study examines how cognitive changes associated with aging impact the financial decision making capability of older Americans. We find that a decrease in cognition is associated with a decrease in financial literacy. Decreases in episodic memory and visuospatial ability are associated with a decrease in numeracy, and a decrease in semantic memory is associated with a decrease in financial knowledge. A decrease in cognition also predicts a drop in self-confidence in general, but importantly, it is not associated with a drop in confidence in managing one's own finances. Participants experiencing decreases in cognition do show an increased likelihood of getting help with financial decisions; however, many participants experiencing significant drops in cognition still do not get help."
2022-10-11,Is it time we get real? A systematic review of the potential of data-driven technologies to address teachers' implicit biases,10.3389/frai.2022.994967,"[{'author_name': 'A. Gauthier', 'author_slug': 'a-gauthier-1ZO006', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Saman Rizvi', 'author_slug': 'saman-rizvi-yAY5Wr', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mutlu Cukurova', 'author_slug': 'mutlu-cukurova-G5D8w1', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Manolis Mavrikis', 'author_slug': 'manolis-mavrikis-lZDDab', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Artificial Intelligence,Front. Artif. Intell.,5,2022,Frontiers Media SA,,,"Data-driven technologies for education, such as artificial intelligence in education (AIEd) systems, learning analytics dashboards, open learner models, and other applications, are often created with an aspiration to help teachers make better, evidence-informed decisions in the classroom. Addressing gender, racial, and other biases inherent to data and algorithms in such applications is seen as a way to increase the responsibility of these systems and has been the focus of much of the research in the field, including systematic reviews. However, implicit biases can also be held by teachers. To the best of our knowledge, this systematic literature review is the first of its kind to investigate what kinds of teacher biases have been impacted by data-driven technologies, how or if these technologies were designed to challenge these biases, and which strategies were most effective at promoting equitable teaching behaviors and decision making. Following PRISMA guidelines, a search of five databases returned n = 359 records of which only n = 2 studies by a single research team were identified as relevant. The findings show that there is minimal evidence that data-driven technologies have been evaluated in their capacity for supporting teachers to make less biased decisions or promote equitable teaching behaviors, even though this capacity is often used as one of the core arguments for the use of data-driven technologies in education. By examining these two studies in conjunction with related studies that did not meet the eligibility criteria during the full-text review, we reveal the approaches that could play an effective role in mitigating teachers' biases, as well as ones that may perpetuate biases. We conclude by summarizing directions for future research that should seek to directly confront teachers' biases through explicit design strategies within teacher tools, to ensure that the impact of biases of both technology (including data, algorithms, models etc.) and teachers are minimized. We propose an extended framework to support future research and design in this area, through motivational, cognitive, and technological debiasing strategies."
2015-05-01,Bang for the Buck: Gain-Loss Ratio as a Driver of Judgment and Choice,10.1287/mnsc.2014.2045,"[{'author_name': 'Bart de Langhe', 'author_slug': 'bart-de-langhe-M2yN3d', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Stefano Puntoni', 'author_slug': 'stefano-puntoni-gZ96Az', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,61,2015,Institute for Operations Research and the Management Sciences (INFORMS),5,1137-1163,"P rominent decision-making theories propose that individuals (should) evaluate alternatives by combining gains and losses in an additive way. Instead, we suggest that individuals seek to maximize the rate of exchange between positive and negative outcomes and thus combine gains and losses in a multiplicative way. Sensitivity to gain-loss ratio provides an alternative account for several existing findings and implies a number of novel predictions. It implies greater sensitivity to losses and risk aversion when expected value is positive, but greater sensitivity to gains and risk seeking when expected value is negative. It also implies more extreme preferences when expected value is positive than when expected value is negative. These predictions are independent of decreasing marginal sensitivity, loss aversion, and probability weighting-three key properties of prospect theory. Five new experiments and reanalyses of two recently published studies support these predictions."
2014-03-01,Pricing and Revenue Management: The Value of Coordination,10.1287/mnsc.2013.1782,"[{'author_name': 'Ayşe Kocabıyıkoğlu', 'author_slug': 'ayse-kocabiyikoglu-9b2QMz', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Ioana Popescu', 'author_slug': 'ioana-popescu-xXKPnW', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Catalina Stefanescu', 'author_slug': 'catalina-stefanescu-NMdKeP', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,60,2014,Institute for Operations Research and the Management Sciences (INFORMS),3,730-752,"T he integration of systems for pricing and revenue management must trade off potential revenue gains against significant practical and technical challenges. This dilemma motivates us to investigate the value of coordinating decisions on prices and capacity allocation in a stylized setting. We propose two pairs of sequential policies for making static decisions-on pricing and revenue management-that differ in their degree of integration (hierarchical versus coordinated) and their pricing inputs (deterministic versus stochastic). For a large class of stochastic, price-dependent demand models, we prove that these four heuristics admit tractable solutions satisfying intuitive sensitivity properties. We further evaluate numerically the performance of these policies relative to a fully coordinated model, which is generally intractable. We find it interesting that near-optimal performance is usually achieved by a simple hierarchical policy that sets prices first, based on a nonnested stochastic model, and then uses these prices to optimize nested capacity allocation. This tractable policy largely outperforms its counterpart based on a deterministic pricing model. Jointly optimizing price and allocation decisions for the high-end segment improves performance, but the largest revenue benefits stem from adjusting prices to account for demand risk."
2024-03-31,Tools for monitoring software quality in information systems development and maintenance: five key challenges and a design proposal,10.12821/ijispm120102,"[{'author_name': 'Rolf-Helge Pfeiffer', 'author_slug': 'Rolf-Helge Pfeiffer', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",International Journal of Information Systems and Project Management,IJISPM,12,2024,University of Minho,1,19-40,"As software grows in size and complexity, organizations increasingly apply tools to automatically assess software quality of information systems during development and maintenance. Software quality assessment tools (SWQAT) promise fast and actionable insights into the technical state of software through various quality characteristics, such as maintainability, reliability, or security. These tools have been used to support a wide variety of Information Technology (IT) project management decisions related to system development, contract negotiations, project terminations, and even settling legal disputes between suppliers and clients. However, despite their rising importance, questions regarding how they function and how reliable they are to support decision-making have so far escaped scholarly attention. This paper conducts an evaluation of widely used SWQATs and analyzes how they rate the quality of software systems of varying sizes, functionalities, and programming languages. Our results reveal five key challenges for using SWQATs in IT projects. To address these challenges, we propose a design for tailorable SWQATs that allows for more conscious and prudent software quality assessments that better reflect the socio-technical aspect of software systems and the context-specific nature of software quality."
2021-09-19,Explainable Artificial Intelligence for Human Decision Support System in the Medical Domain,10.3390/make3030037,"[{'author_name': 'Samanta Knapič', 'author_slug': 'samanta-knapic-RjWGYM', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Avleen Malhi', 'author_slug': 'avleen-malhi-4Y8Y8R', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Rohit Saluja', 'author_slug': 'rohit-saluja-XeMVxk', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Kary Främling', 'author_slug': 'kary-framling-0GzKyP', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Machine Learning and Knowledge Extraction,MAKE,3,2021,MDPI AG,3,740-770,"In this paper, we present the potential of Explainable Artificial Intelligence methods for decision support in medical image analysis scenarios. Using three types of explainable methods applied to the same medical image data set, we aimed to improve the comprehensibility of the decisions provided by the Convolutional Neural Network (CNN). In vivo gastral images obtained by a video capsule endoscopy (VCE) were the subject of visual explanations, with the goal of increasing health professionals’ trust in black-box predictions. We implemented two post hoc interpretable machine learning methods, called Local Interpretable Model-Agnostic Explanations (LIME) and SHapley Additive exPlanations (SHAP), and an alternative explanation approach, the Contextual Importance and Utility (CIU) method. The produced explanations were assessed by human evaluation. We conducted three user studies based on explanations provided by LIME, SHAP and CIU. Users from different non-medical backgrounds carried out a series of tests in a web-based survey setting and stated their experience and understanding of the given explanations. Three user groups (n = 20, 20, 20) with three distinct forms of explanations were quantitatively analyzed. We found that, as hypothesized, the CIU-explainable method performed better than both LIME and SHAP methods in terms of improving support for human decision-making and being more transparent and thus understandable to users. Additionally, CIU outperformed LIME and SHAP by generating explanations more rapidly. Our findings suggest that there are notable differences in human decision-making between various explanation support settings. In line with that, we present three potential explainable methods that, with future improvements in implementation, can be generalized to different medical data sets and can provide effective decision support to medical experts."
